,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1,Precious Achiuwa,C,23,TOR,12,0,20.4,3.0,7.7,.391,0.4,2.3,.179,2.6,5.3,.484,.418,2.3,2.8,.848,2.0,5.0,7.0,1.3,0.2,0.6,1.3,1.6,8.8
1,2,Steven Adams,C,29,MEM,12,12,26.9,2.8,4.8,.596,0.0,0.0,,2.8,4.8,.596,.596,0.8,2.4,.310,5.2,6.3,11.5,2.4,0.8,1.3,2.3,2.7,6.4
2,3,Bam Adebayo,C,25,MIA,13,13,34.9,7.3,13.7,.534,0.0,0.3,.000,7.3,13.4,.546,.534,3.6,4.2,.855,2.2,6.9,9.1,3.5,1.2,0.8,3.6,3.5,18.2
3,4,Ochai Agbaji,SG,22,UTA,6,0,11.2,1.3,3.2,.421,0.0,1.0,.000,1.3,2.2,.615,.421,0.7,1.2,.571,0.7,1.0,1.7,0.2,0.0,0.0,0.0,1.0,3.3
4,5,Santi Aldama,PF,22,MEM,13,13,27.6,3.6,7.9,.456,1.1,3.6,.298,2.5,4.3,.589,.524,1.1,1.7,.636,1.8,4.3,6.2,0.8,0.9,1.1,0.6,2.6,9.4
5,6,Nickeil Alexander-Walker,SG,24,UTA,9,0,7.8,1.0,3.0,.333,0.4,1.4,.308,0.6,1.6,.357,.407,0.4,0.6,.800,0.0,0.7,0.7,1.1,0.6,0.3,0.6,1.2,2.9
6,7,Grayson Allen,SG,27,MIL,11,10,26.8,3.2,7.5,.422,2.1,4.9,.426,1.1,2.6,.414,.560,2.4,2.5,.929,0.7,2.1,2.8,2.7,0.8,0.3,1.7,1.7,10.8
7,8,Jarrett Allen,C,24,CLE,12,12,32.5,5.8,10.3,.556,0.0,0.2,.000,5.8,10.2,.566,.556,2.5,3.3,.769,3.5,8.0,11.5,1.2,0.4,1.3,1.4,2.3,14.0
8,9,Jose Alvarado,PG,24,NOP,13,2,18.8,2.9,6.2,.469,1.4,3.3,.419,1.5,2.9,.526,.580,0.5,0.7,.667,0.4,1.6,2.0,2.8,0.9,0.2,1.3,2.0,7.7
9,10,Kyle Anderson,PF,29,MIN,9,2,19.1,2.2,3.9,.571,0.4,1.2,.364,1.8,2.7,.667,.629,1.2,1.4,.846,0.4,2.4,2.9,2.7,0.8,0.6,0.9,1.0,6.1
10,11,Giannis Antetokounmpo,PF,28,MIL,9,9,32.8,11.4,21.1,.542,0.9,3.3,.267,10.6,17.8,.594,.563,8.0,12.3,.649,1.9,10.3,12.2,5.3,1.1,1.4,3.3,2.9,31.8
11,12,Thanasis Antetokounmpo,SF,30,MIL,6,0,3.0,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.2,0.7,0.8,0.2,0.0,0.2,0.2,0.3,0.0
12,13,Cole Anthony,PG,22,ORL,4,3,30.5,5.5,13.3,.415,1.8,5.0,.350,3.8,8.3,.455,.481,2.8,3.8,.733,0.8,4.0,4.8,4.3,0.8,0.8,2.0,3.5,15.5
13,14,OG Anunoby,SF,25,TOR,14,14,35.4,6.4,13.6,.474,1.9,4.9,.377,4.6,8.6,.529,.542,2.5,3.1,.814,1.4,4.7,6.1,1.8,2.9,0.9,2.3,3.4,17.2
14,15,Ryan Arcidiacono,PG,28,NYK,3,0,2.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.7,0.7,0.3,0.3,0.0,0.0,0.3,0.0
15,16,Deni Avdija,SF,22,WAS,13,10,21.6,2.0,5.5,.361,0.5,2.2,.241,1.5,3.3,.442,.410,1.2,1.5,.842,0.7,3.8,4.5,1.7,0.6,0.6,1.1,2.8,5.8
16,17,Deandre Ayton,C,24,PHO,10,10,26.6,6.4,11.5,.557,0.3,0.7,.429,6.1,10.8,.565,.570,1.4,1.9,.737,2.2,5.1,7.3,1.5,0.6,0.6,2.1,3.2,14.5
17,18,Udoka Azubuike,C,23,UTA,5,0,4.0,1.0,1.2,.833,0.0,0.0,,1.0,1.2,.833,.833,0.0,0.0,,0.4,1.4,1.8,0.2,0.4,0.4,0.4,0.2,2.0
18,19,Marvin Bagley III,PF,23,DET,1,0,17.0,2.0,5.0,.400,0.0,1.0,.000,2.0,4.0,.500,.400,0.0,0.0,,2.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,4.0
19,20,Patrick Baldwin Jr.,SF,20,GSW,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21,LaMelo Ball,PG,21,CHO,1,1,28.0,6.0,17.0,.353,1.0,9.0,.111,5.0,8.0,.625,.382,2.0,2.0,1.000,0.0,6.0,6.0,6.0,1.0,0.0,2.0,5.0,15.0
22,22,Mo Bamba,C,24,ORL,12,0,14.6,2.5,4.9,.508,0.7,2.3,.296,1.8,2.7,.688,.576,0.6,1.0,.583,0.7,3.0,3.7,1.0,0.2,0.7,0.7,1.9,6.3
23,23,Paolo Banchero,PF,20,ORL,11,11,34.6,8.1,17.5,.461,1.0,3.9,.256,7.1,13.6,.520,.490,6.4,8.3,.769,0.8,7.5,8.3,3.6,0.7,0.9,3.0,2.4,23.5
24,24,Desmond Bane,SG,24,MEM,12,12,33.6,8.3,17.8,.465,3.8,8.5,.451,4.4,9.3,.477,.573,4.3,4.8,.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7
25,25,Dalano Banton,PG,23,TOR,13,0,9.5,1.8,4.3,.429,0.6,1.8,.333,1.2,2.5,.500,.500,0.6,0.8,.800,0.5,0.7,1.2,0.9,0.4,0.6,0.6,0.8,4.9
26,26,Dominick Barlow,SF,19,SAS,1,0,10.0,1.0,3.0,.333,0.0,2.0,.000,1.0,1.0,1.000,.333,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0
27,27,Harrison Barnes,PF,30,SAC,11,11,32.2,3.4,8.3,.407,0.7,3.4,.216,2.6,4.9,.537,.451,3.6,4.5,.816,1.3,4.6,5.9,2.0,0.7,0.2,1.2,1.4,11.1
28,28,Scottie Barnes,PF,21,TOR,13,13,31.9,5.5,12.8,.431,1.3,3.9,.333,4.2,8.9,.474,.482,1.4,1.9,.720,1.9,4.7,6.6,4.9,0.9,0.7,2.0,1.5,13.8
29,29,RJ Barrett,SG,22,NYK,12,12,35.2,7.3,16.5,.439,1.8,5.8,.314,5.4,10.7,.508,.495,3.8,4.9,.780,1.0,4.8,5.8,3.1,0.5,0.2,2.3,2.0,20.2
30,30,Will Barton,SG,32,WAS,13,0,23.9,3.4,8.7,.389,1.4,4.0,.346,2.0,4.7,.426,.469,1.1,1.2,.933,0.4,3.0,3.4,2.5,0.5,0.3,1.3,1.3,9.2
31,31,Charles Bassey,C,22,SAS,4,0,15.5,2.5,4.0,.625,0.5,1.3,.400,2.0,2.8,.727,.688,1.3,1.5,.833,2.0,6.0,8.0,1.8,0.8,2.0,1.0,3.0,6.8
32,32,Keita Bates-Diop,SF,27,SAS,12,2,12.3,2.5,4.9,.508,0.3,1.2,.286,2.2,3.8,.578,.542,1.3,1.6,.842,0.9,1.3,2.2,0.4,0.4,0.0,1.2,0.5,6.7
33,33,Nicolas Batum,PF,34,LAC,13,1,17.6,1.2,3.2,.357,0.7,2.3,.300,0.5,0.9,.500,.464,0.5,0.7,.778,0.8,3.1,3.8,1.5,0.4,0.9,0.8,2.4,3.5
